listing_id,number_of_reviews,reviews_per_month,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
3772674,65,3.94,2014-08-28,2015-12-14,98.0,10.0,10.0,10.0,10.0,10.0,10.0
7021906,5,1.38,2015-09-18,2015-12-16,96.0,10.0,10.0,10.0,10.0,10.0,9.0
7618605,5,1.01,2015-08-10,2015-12-01,96.0,10.0,10.0,10.0,10.0,10.0,9.0
10234558,0,,,,,,,,,,
7021702,0,,,,,,,,,,
7680439,16,3.29,2015-08-12,2015-12-20,93.0,9.0,10.0,10.0,10.0,10.0,10.0
4258515,23,3.07,2015-05-25,2015-10-08,77.0,8.0,8.0,9.0,9.0,9.0,8.0
1148517,45,1.44,2013-06-13,2015-09-21,97.0,9.0,9.0,10.0,10.0,10.0,9.0
2487892,75,3.46,2014-03-26,2015-12-20,94.0,10.0,9.0,10.0,10.0,10.0,10.0
3038772,86,4.43,2014-06-02,2016-01-01,94.0,9.0,10.0,10.0,10.0,10.0,10.0
699460,151,3.85,2012-10-15,2015-12-18,97.0,10.0,10.0,10.0,10.0,10.0,10.0
4085439,6,0.38,2014-09-21,2015-05-29,92.0,10.0,10.0,10.0,10.0,10.0,8.0
8053990,16,3.75,2015-08-30,2015-12-13,94.0,10.0,10.0,10.0,10.0,10.0,10.0
7011773,0,,,,,,,,,,
2467550,0,,,,,,,,,,
2686374,165,7.84,2014-04-14,2016-01-02,95.0,9.0,10.0,10.0,10.0,10.0,9.0
1956274,48,2.11,2014-02-20,2015-12-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0
8537192,0,,,,,,,,,,
5919096,2,0.26,2015-05-17,2015-06-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0
6516529,0,,,,,,,,,,
3294243,27,1.48,2014-07-07,2015-10-14,93.0,10.0,10.0,10.0,10.0,10.0,9.0
10210971,0,,,,,,,,,,
3584790,0,,,,,,,,,,
1266459,9,0.3,2013-07-09,2015-07-17,98.0,10.0,10.0,10.0,10.0,9.0,9.0
9098059,0,,,,,,,,,,
408526,0,,,,,,,,,,
4118282,88,6.07,2014-10-27,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,9.0
6813483,10,1.75,2015-07-18,2015-12-26,98.0,9.0,10.0,10.0,10.0,10.0,9.0
6590264,5,0.82,2015-07-05,2015-11-13,96.0,10.0,10.0,10.0,10.0,9.0,10.0
2650482,10,0.64,2014-09-21,2015-08-07,98.0,10.0,10.0,10.0,10.0,10.0,9.0
20927,244,3.64,2010-07-04,2015-12-26,97.0,10.0,9.0,10.0,10.0,10.0,10.0
4395578,1,0.11,2015-03-29,2015-03-29,100.0,10.0,10.0,10.0,10.0,8.0,10.0
4995903,0,,,,,,,,,,
5549211,40,4.05,2015-03-15,2016-01-03,98.0,10.0,10.0,10.0,10.0,10.0,10.0
8240758,2,0.62,2015-09-30,2015-10-04,80.0,9.0,10.0,10.0,10.0,10.0,9.0
6856295,46,6.87,2015-06-18,2016-01-01,97.0,10.0,10.0,10.0,10.0,10.0,10.0
6881188,23,3.75,2015-07-05,2015-12-30,96.0,10.0,10.0,10.0,10.0,10.0,9.0
1579615,44,1.55,2013-09-05,2015-12-21,98.0,10.0,10.0,10.0,10.0,10.0,10.0
3766866,14,0.82,2014-08-11,2015-12-31,97.0,10.0,10.0,10.0,10.0,10.0,9.0
2406966,12,0.77,2014-09-23,2015-10-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4872699,1,0.09,2015-02-02,2015-02-02,100.0,8.0,10.0,10.0,10.0,10.0,8.0
5470629,25,3.39,2015-05-29,2015-12-20,99.0,10.0,10.0,10.0,10.0,10.0,10.0
2950213,35,1.84,2014-06-14,2015-11-02,95.0,10.0,9.0,10.0,10.0,10.0,9.0
9015088,5,3.95,2015-11-28,2016-01-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3979496,31,1.89,2014-08-30,2015-11-07,95.0,10.0,10.0,10.0,10.0,10.0,10.0
7501919,7,1.37,2015-08-05,2015-10-11,97.0,8.0,10.0,10.0,10.0,10.0,9.0
4732995,4,0.83,2015-08-14,2015-12-20,95.0,10.0,9.0,10.0,10.0,10.0,10.0
7134759,16,3.87,2015-09-03,2015-12-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4532538,1,1.0,2016-01-01,2016-01-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0
7534398,8,3.38,2015-10-26,2015-12-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9387189,1,1.0,2015-12-05,2015-12-05,100.0,10.0,10.0,10.0,10.0,10.0,10.0
6337492,5,0.65,2015-05-19,2015-10-10,92.0,9.0,8.0,9.0,10.0,10.0,10.0
10231701,0,,,,,,,,,,
1609922,26,0.96,2013-10-14,2015-11-29,94.0,10.0,9.0,10.0,10.0,10.0,9.0
4236723,113,7.53,2014-10-12,2016-01-02,94.0,9.0,9.0,10.0,10.0,10.0,9.0
7843837,0,,,,,,,,,,
3076065,15,1.22,2015-01-02,2015-09-21,96.0,10.0,10.0,9.0,10.0,10.0,9.0
6423204,44,5.87,2015-05-25,2015-12-27,91.0,9.0,9.0,10.0,10.0,9.0,9.0
8338849,7,1.91,2015-09-17,2015-09-30,94.0,10.0,10.0,10.0,10.0,10.0,10.0
6401209,13,2.05,2015-06-29,2015-12-28,97.0,10.0,10.0,10.0,10.0,10.0,10.0
20928,44,6.23,2015-06-07,2015-12-23,97.0,10.0,10.0,10.0,10.0,10.0,10.0
3344977,56,3.11,2014-07-13,2015-10-25,96.0,10.0,10.0,10.0,10.0,10.0,10.0
7604621,11,3.55,2015-10-04,2015-12-23,95.0,10.0,10.0,9.0,10.0,10.0,9.0
3303978,39,2.22,2014-07-28,2015-12-28,98.0,10.0,10.0,10.0,10.0,10.0,10.0
7067082,10,1.68,2015-07-10,2015-09-28,90.0,9.0,9.0,10.0,10.0,10.0,9.0
3121829,6,0.34,2014-07-22,2015-12-30,90.0,10.0,10.0,9.0,9.0,10.0,9.0
2539881,4,0.2,2014-05-25,2015-11-29,85.0,8.0,8.0,10.0,10.0,10.0,10.0
3678718,79,4.67,2014-08-16,2015-12-18,96.0,10.0,10.0,10.0,10.0,10.0,10.0
4694479,50,5.32,2015-03-29,2015-12-14,96.0,10.0,10.0,10.0,10.0,10.0,10.0
6646843,28,5.79,2015-08-13,2015-12-28,89.0,10.0,9.0,10.0,10.0,10.0,9.0
1364440,20,0.68,2013-08-09,2015-09-26,100.0,10.0,10.0,10.0,10.0,9.0,10.0
1781873,57,2.56,2014-03-09,2015-12-01,92.0,10.0,9.0,10.0,10.0,9.0,9.0
4138423,38,2.61,2014-10-25,2015-12-20,94.0,10.0,9.0,10.0,10.0,9.0,9.0
5562674,71,7.2,2015-03-15,2015-12-13,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1789341,17,0.82,2014-04-20,2015-11-28,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4672934,13,1.06,2015-01-02,2016-01-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4550099,3,0.22,2014-11-29,2015-05-26,93.0,9.0,7.0,9.0,10.0,9.0,8.0
1198799,19,1.84,2015-03-01,2016-01-01,98.0,10.0,10.0,10.0,10.0,10.0,10.0
5308429,18,1.65,2015-02-12,2016-01-02,99.0,10.0,10.0,10.0,10.0,10.0,10.0
2769088,12,0.61,2014-05-26,2015-08-11,71.0,8.0,6.0,9.0,9.0,9.0,7.0
7603135,4,0.85,2015-08-17,2015-09-21,95.0,10.0,10.0,9.0,10.0,10.0,10.0
9374365,7,3.96,2015-11-13,2015-12-30,97.0,10.0,10.0,10.0,10.0,10.0,10.0
6106498,23,2.82,2015-05-05,2015-10-12,97.0,10.0,10.0,10.0,10.0,9.0,10.0
9331449,2,2.0,2015-12-07,2015-12-14,90.0,10.0,8.0,10.0,10.0,10.0,9.0
8799162,0,,,,,,,,,,
4317390,39,2.87,2014-11-23,2015-12-21,95.0,10.0,10.0,9.0,10.0,10.0,9.0
3884851,64,3.86,2014-08-25,2016-01-02,96.0,10.0,10.0,10.0,10.0,10.0,10.0
3155785,4,0.82,2015-08-11,2015-09-07,80.0,10.0,8.0,9.0,9.0,9.0,9.0
9368517,0,,,,,,,,,,
5643240,8,1.21,2015-06-20,2015-12-04,90.0,10.0,9.0,10.0,10.0,10.0,10.0
5042014,14,1.25,2015-02-02,2015-10-26,97.0,10.0,10.0,10.0,10.0,10.0,10.0
7724630,1,0.3,2015-09-27,2015-09-27,100.0,8.0,8.0,10.0,10.0,10.0,8.0
9449437,0,,,,,,,,,,
3053237,85,4.28,2014-05-19,2015-12-02,99.0,10.0,10.0,10.0,10.0,9.0,10.0
8132347,0,,,,,,,,,,
63733,125,2.18,2011-04-23,2015-12-30,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2039149,121,5.15,2014-01-30,2015-12-21,91.0,9.0,9.0,10.0,10.0,9.0,9.0
227636,131,2.59,2011-11-09,2015-12-29,97.0,10.0,10.0,10.0,10.0,9.0,10.0
3689119,49,2.85,2014-08-08,2016-01-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1179538,2,1.3,2015-11-20,2015-12-01,100.0,10.0,10.0,10.0,10.0,8.0,8.0
6823781,28,4.29,2015-06-23,2015-11-29,95.0,10.0,10.0,10.0,10.0,10.0,10.0
2284536,111,4.89,2014-02-23,2015-12-20,92.0,9.0,9.0,10.0,10.0,10.0,9.0
5143441,49,4.51,2015-02-13,2015-12-18,97.0,10.0,10.0,10.0,10.0,10.0,10.0
5749958,28,3.4,2015-05-03,2015-10-05,96.0,10.0,10.0,10.0,10.0,10.0,10.0
9116815,0,,,,,,,,,,
7731836,3,3.0,2015-12-11,2015-12-27,100.0,10.0,10.0,10.0,10.0,9.0,9.0
10262971,0,,,,,,,,,,
1407502,9,0.47,2014-06-12,2014-12-02,89.0,8.0,9.0,9.0,9.0,9.0,9.0
8817038,12,5.22,2015-10-28,2015-12-28,97.0,10.0,10.0,10.0,10.0,10.0,10.0
4449303,50,5.02,2015-03-12,2015-12-23,95.0,10.0,10.0,10.0,10.0,10.0,9.0
8255615,3,0.85,2015-09-21,2015-12-01,100.0,10.0,10.0,9.0,10.0,10.0,10.0
4053092,24,1.58,2014-10-06,2015-10-06,98.0,10.0,10.0,10.0,10.0,10.0,10.0
6886633,81,12.15,2015-06-19,2015-12-18,95.0,10.0,10.0,10.0,10.0,9.0,10.0
8820414,0,,,,,,,,,,
3052151,19,0.98,2014-06-01,2015-07-30,85.0,8.0,7.0,9.0,9.0,9.0,8.0
2339333,6,0.95,2015-06-29,2015-07-28,100.0,10.0,10.0,10.0,10.0,9.0,9.0
1618842,115,4.79,2014-01-15,2015-12-15,99.0,10.0,10.0,10.0,10.0,10.0,10.0
888967,72,2.14,2013-03-31,2015-12-01,99.0,10.0,10.0,10.0,10.0,10.0,10.0
380950,12,0.28,2012-06-25,2015-09-14,84.0,8.0,9.0,10.0,10.0,9.0,8.0
8097708,1,0.25,2015-09-09,2015-09-09,100.0,10.0,10.0,10.0,10.0,10.0,10.0
5671843,31,3.31,2015-03-30,2015-12-01,95.0,10.0,9.0,10.0,10.0,10.0,10.0
904057,125,3.57,2013-02-19,2015-12-19,97.0,10.0,10.0,10.0,10.0,10.0,10.0
7161725,7,1.24,2015-07-20,2015-09-20,97.0,9.0,10.0,10.0,10.0,10.0,10.0
9587410,2,2.0,2015-12-24,2016-01-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9202380,0,,,,,,,,,,
2238105,62,2.7,2014-02-16,2015-12-28,97.0,10.0,10.0,10.0,10.0,10.0,9.0
9545766,0,,,,,,,,,,
2441908,74,3.3,2014-03-03,2015-12-29,98.0,10.0,10.0,10.0,10.0,10.0,10.0
9367465,1,0.86,2015-12-01,2015-12-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3031415,107,5.63,2014-06-14,2015-12-26,95.0,10.0,9.0,10.0,10.0,10.0,9.0
843812,10,0.29,2013-03-11,2015-10-20,96.0,10.0,10.0,10.0,10.0,9.0,10.0
3835995,155,9.14,2014-08-14,2015-12-23,96.0,10.0,10.0,10.0,10.0,10.0,10.0
9732638,0,,,,,,,,,,
3768745,15,2.27,2015-06-21,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3975434,17,1.04,2014-08-31,2015-08-27,96.0,10.0,10.0,10.0,10.0,10.0,9.0
5620928,13,1.86,2015-06-09,2015-10-18,92.0,9.0,9.0,10.0,10.0,9.0,9.0
7381677,13,2.52,2015-08-03,2015-12-21,97.0,10.0,10.0,10.0,10.0,10.0,10.0
5487934,2,0.26,2015-05-18,2015-07-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9028447,1,1.0,2015-12-12,2015-12-12,,,,,,,
757840,98,2.56,2012-11-11,2015-12-05,98.0,10.0,10.0,10.0,10.0,10.0,10.0
8848403,2,2.0,2015-12-14,2015-12-25,100.0,10.0,10.0,10.0,10.0,9.0,10.0
7430926,28,5.92,2015-08-16,2015-12-29,90.0,10.0,9.0,9.0,10.0,9.0,9.0
7021544,17,3.15,2015-07-27,2015-11-27,91.0,10.0,9.0,10.0,10.0,9.0,9.0
1323446,139,4.59,2013-07-10,2015-12-20,97.0,10.0,10.0,10.0,9.0,10.0,10.0
3925573,5,0.32,2014-09-22,2015-09-14,100.0,10.0,10.0,10.0,10.0,10.0,9.0
8723086,15,5.0,2015-10-07,2015-12-22,96.0,10.0,9.0,10.0,10.0,9.0,10.0
781474,1,0.03,2013-04-03,2013-04-03,90.0,,10.0,10.0,10.0,8.0,10.0
9812439,0,,,,,,,,,,
3401644,5,0.31,2014-09-02,2015-08-30,88.0,10.0,9.0,9.0,10.0,10.0,10.0
10036903,0,,,,,,,,,,
5310193,3,0.6,2015-08-09,2015-12-28,93.0,9.0,9.0,10.0,9.0,10.0,10.0
5308875,17,2.88,2015-07-12,2015-11-21,94.0,10.0,10.0,10.0,10.0,10.0,9.0
5052459,31,3.08,2015-03-09,2015-12-15,96.0,10.0,10.0,10.0,10.0,10.0,9.0
7228499,34,7.18,2015-08-16,2015-12-28,92.0,9.0,9.0,10.0,10.0,10.0,9.0
7651653,1,0.54,2015-11-10,2015-11-10,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1494986,10,0.35,2013-09-06,2015-12-05,100.0,10.0,10.0,10.0,10.0,9.0,10.0
1783382,15,0.61,2013-12-31,2015-09-28,98.0,10.0,9.0,10.0,10.0,9.0,9.0
7513198,1,0.21,2015-08-15,2015-08-15,100.0,10.0,10.0,10.0,10.0,10.0,10.0
8308316,7,1.98,2015-09-21,2015-12-20,97.0,10.0,10.0,10.0,10.0,10.0,10.0
9694921,1,1.0,2015-12-31,2015-12-31,100.0,10.0,10.0,10.0,10.0,10.0,10.0
2472850,28,1.41,2014-05-19,2015-09-07,82.0,9.0,8.0,9.0,9.0,9.0,8.0
5487522,7,0.73,2015-03-23,2015-10-03,89.0,9.0,9.0,9.0,9.0,9.0,9.0
4016650,36,3.48,2015-03-01,2015-11-18,97.0,10.0,10.0,10.0,10.0,9.0,10.0
10229434,0,,,,,,,,,,
3479241,16,0.92,2014-08-01,2015-08-17,92.0,10.0,9.0,9.0,10.0,10.0,9.0
5848400,4,0.5,2015-05-09,2015-10-19,90.0,9.0,10.0,10.0,10.0,10.0,9.0
6077760,23,2.92,2015-05-14,2015-10-25,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4642956,1,0.1,2015-03-08,2015-03-08,100.0,10.0,10.0,10.0,10.0,10.0,8.0
1167507,61,1.93,2013-06-02,2015-12-11,97.0,10.0,10.0,10.0,10.0,10.0,10.0
6044106,50,5.91,2015-04-26,2015-12-28,96.0,10.0,10.0,10.0,10.0,9.0,10.0
1799255,55,2.29,2014-01-13,2015-11-17,97.0,10.0,9.0,10.0,10.0,10.0,10.0
8941768,1,0.59,2015-11-15,2015-11-15,100.0,10.0,10.0,10.0,10.0,10.0,10.0
6569950,1,0.2,2015-08-10,2015-08-10,100.0,10.0,10.0,10.0,10.0,10.0,10.0
7733192,12,2.67,2015-08-23,2016-01-01,100.0,10.0,10.0,10.0,10.0,10.0,9.0
9215782,2,1.71,2015-12-01,2015-12-12,100.0,,10.0,,10.0,,
5175631,26,2.57,2015-03-08,2015-12-11,98.0,10.0,10.0,10.0,10.0,10.0,10.0
6315614,0,,,,,,,,,,
9134193,1,1.0,2015-12-20,2015-12-20,100.0,10.0,10.0,10.0,10.0,10.0,10.0
2481189,53,2.41,2014-03-17,2015-11-23,96.0,10.0,10.0,10.0,10.0,9.0,10.0
8535897,13,3.82,2015-09-25,2015-12-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9476826,0,,,,,,,,,,
3144311,4,0.63,2015-06-29,2015-09-08,95.0,10.0,9.0,10.0,10.0,10.0,9.0
9370007,0,,,,,,,,,,
6781308,32,4.68,2015-06-14,2015-12-18,97.0,10.0,10.0,10.0,10.0,9.0,10.0
160222,53,0.98,2011-07-20,2015-10-10,93.0,9.0,9.0,10.0,10.0,10.0,9.0
4250367,8,0.53,2014-10-13,2015-11-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0
8755479,2,0.71,2015-10-13,2015-11-28,100.0,10.0,10.0,9.0,10.0,10.0,9.0
8829156,7,2.66,2015-10-18,2015-12-28,100.0,10.0,10.0,10.0,10.0,10.0,10.0
5126077,1,0.34,2015-10-08,2015-10-08,80.0,10.0,10.0,10.0,10.0,8.0,6.0
6108796,49,5.81,2015-04-27,2015-12-17,95.0,10.0,10.0,10.0,10.0,9.0,9.0
2692126,59,3.45,2014-08-10,2015-12-13,98.0,10.0,10.0,10.0,10.0,9.0,10.0
6882211,0,,,,,,,,,,
9573675,0,,,,,,,,,,
3544953,18,1.02,2014-07-22,2015-09-25,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2020505,63,2.76,2014-02-18,2015-10-19,99.0,10.0,10.0,10.0,10.0,10.0,10.0
5580457,16,1.7,2015-03-29,2016-01-03,93.0,10.0,10.0,9.0,10.0,9.0,9.0
1495271,4,0.14,2013-08-26,2015-08-08,95.0,9.0,10.0,10.0,10.0,10.0,9.0
8455865,3,1.07,2015-10-13,2015-12-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9679300,0,,,,,,,,,,
6065566,2,0.37,2015-07-27,2015-08-31,100.0,10.0,9.0,10.0,10.0,10.0,10.0
4645208,14,1.57,2015-04-12,2015-08-30,99.0,10.0,10.0,10.0,10.0,10.0,10.0
6115807,9,1.53,2015-07-13,2015-11-28,96.0,10.0,10.0,10.0,10.0,10.0,10.0
7091397,11,1.98,2015-07-22,2015-11-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0
6134153,11,1.67,2015-06-21,2015-10-06,91.0,9.0,9.0,10.0,10.0,10.0,9.0
7763878,1,0.24,2015-09-01,2015-09-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0
8088447,1,0.53,2015-11-09,2015-11-09,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3418349,115,6.39,2014-07-14,2016-01-02,94.0,10.0,9.0,10.0,10.0,10.0,9.0
9199982,6,4.19,2015-11-23,2015-12-28,87.0,9.0,9.0,9.0,10.0,8.0,9.0
6400000,10,1.46,2015-06-13,2015-09-25,92.0,10.0,10.0,10.0,10.0,10.0,9.0
6776229,21,4.88,2015-08-29,2015-12-21,96.0,10.0,10.0,10.0,10.0,9.0,10.0
7627794,5,1.01,2015-08-10,2015-11-01,96.0,10.0,10.0,10.0,10.0,10.0,10.0
8374102,5,1.42,2015-09-21,2015-12-23,92.0,9.0,9.0,10.0,10.0,9.0,9.0
6316934,53,6.82,2015-05-17,2015-12-26,95.0,10.0,10.0,10.0,10.0,9.0,10.0
1820794,106,4.37,2014-01-07,2015-12-30,99.0,10.0,10.0,10.0,10.0,10.0,10.0
314180,24,0.51,2012-03-06,2015-12-01,100.0,10.0,9.0,10.0,10.0,10.0,10.0
8670079,0,,,,,,,,,,
4868135,11,0.89,2015-01-01,2015-09-29,96.0,9.0,10.0,9.0,9.0,10.0,9.0
5336585,1,0.1,2015-03-07,2015-03-07,,,,,,,
1427103,79,2.78,2013-09-04,2015-12-06,95.0,10.0,10.0,10.0,10.0,10.0,9.0
3518808,52,3.18,2014-09-02,2015-11-29,97.0,10.0,10.0,10.0,10.0,10.0,10.0
8995844,1,0.81,2015-11-29,2015-11-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0
356566,13,0.28,2012-03-25,2014-02-23,100.0,10.0,10.0,10.0,10.0,10.0,10.0
6466388,20,2.86,2015-06-09,2015-10-06,87.0,8.0,9.0,9.0,9.0,10.0,8.0
4531944,30,2.29,2014-12-08,2016-01-02,99.0,10.0,10.0,10.0,10.0,10.0,10.0
6686072,14,2.3,2015-07-06,2015-11-18,97.0,9.0,10.0,10.0,10.0,10.0,9.0
4384343,27,1.88,2014-11-01,2015-12-01,96.0,10.0,10.0,10.0,10.0,10.0,10.0
7900056,5,1.42,2015-09-21,2015-11-01,84.0,10.0,8.0,9.0,8.0,9.0,9.0
6378563,5,0.67,2015-05-26,2015-08-31,96.0,10.0,10.0,10.0,10.0,10.0,10.0
5630783,28,2.92,2015-03-23,2015-11-09,97.0,10.0,10.0,10.0,10.0,10.0,10.0
340706,97,2.09,2012-03-13,2015-12-14,96.0,10.0,10.0,10.0,10.0,10.0,10.0
6202214,15,1.97,2015-05-21,2015-12-05,96.0,10.0,10.0,10.0,10.0,10.0,10.0
